,word,num,dsc_num,skip,pca_vec,cluster
187,見逃す,1,0,False,[-3.26261555 -1.09695787],0
188,向かう,1,0,False,[ 2.48513701 13.54921615],1
189,知る,1,0,False,[8.89574607 0.35335317],2
190,出歩く,1,0,False,[-5.94430064 -0.7541178 ],0
191,逢う,1,0,False,[-5.54753941  0.38396235],0
192,誇る,5,0,False,[  1.47871886 -11.9109252 ],2
193,呼び出す,21,0,False,[ 4.73067917 -0.47117477],2
194,着こなす,1,0,False,[-6.29394639 -1.55490874],0
195,叶う,1,0,False,[-3.20134205  1.43941968],0
196,踏み切る,7,0,False,[-5.04102951 -0.24492494],0
197,離す,3,0,False,[ 0.49909141 -0.50870553],0
198,味わう,5,0,False,[ 2.74416218 -0.99106127],2
199,つかる,1,0,False,[-6.03265006 -0.92425834],0
200,むく,5,0,False,[-6.11730367 -1.29709856],0
201,みとる,1,0,False,[-7.25205466 -1.62849711],0
202,捧ぐ,1,0,False,[-6.85597695  0.07231799],0
203,働く,1,0,False,[5.13386393 5.17982589],1
204,逆らう,1,0,False,[-2.3140907   0.82499975],0
205,寄る,1,0,False,[-3.99084554  1.54002278],0
206,たぶ,1,0,False,[-7.73136861 -1.32294333],0
207,走る,1,0,False,[5.71183868 0.17467849],2
208,望む,2,0,False,[ 3.69691715 -1.71985011],2
209,こむ,1,0,False,[0.15490834 2.2901861 ],1
210,つかむ,1,0,False,[ 3.34101951 -2.77960726],2
211,済ます,4,0,False,[-4.62364346 -0.98490443],0
212,塗る,1,0,False,[ 1.82934447 -2.3921698 ],2
213,いつ,1,0,False,[-5.11974046  3.0535872 ],0
214,泡立つ,1,0,False,[-6.84730184 -1.5798915 ],0
215,つむ,1,0,False,[-6.94156013 -1.49996302],0
216,まとう,1,0,False,[-4.63326532 -1.5115531 ],0
217,うかがう,1,0,False,[-0.65781837 -1.50164128],0
218,もつ,3,0,False,[  4.29015601 -13.37692019],2
219,消す,1,0,False,[ 7.67764727 -0.90096368],2
220,歩く,1,0,False,[5.45464181 6.74610404],1
221,片付く,1,0,False,[-7.02295932 -1.43552196],0
222,呼ぶ,3,0,False,[ 8.77776781 -4.79062888],2
223,打ち取る,1,0,False,[-5.18181078 -1.72575354],0
224,打ち込む,1,0,False,[1.53553339 0.37659557],2
225,語る,1,0,False,[4.61103339 3.01329862],2
226,ずらす,1,0,False,[-0.34883797 -2.38341348],0
227,揉む,1,0,False,[-5.59069995 -1.33187974],0
228,まく,1,0,False,[-4.8382605  -1.15143913],0
229,食らわす,1,0,False,[-6.73768963 -1.76262946],0
230,乗り切る,1,0,False,[-1.38508885 -1.75480244],0
231,ずる,3,0,False,[-4.99812247 -0.2523027 ],0
232,燃やす,1,0,False,[ 0.93685707 -1.79654029],2
233,跳ぶ,1,0,False,[-2.48560124 -1.21657005],0
234,笑う,4,0,False,[-1.82477703  2.74422754],0
235,きる,1,0,False,[1.05499356 1.2395077 ],1
236,かる,4,0,False,[-6.11510847  0.09805831],0
237,織る,1,0,False,[-3.66259043 -2.40463737],0
238,踏み出す,1,0,False,[-3.40379379 -0.18587519],0
239,すぐる,1,0,False,[-7.80472877 -1.59302764],0
240,負う,4,0,False,[ 3.56807108 -4.91215625],2
241,あやまる,1,0,False,[-6.94366425 -1.56858768],0
242,はじく,2,0,False,[-4.6871812  -2.35359798],0
243,注ぐ,1,0,False,[2.24100359 1.81459354],1
244,想う,1,0,False,[-4.59985368  0.059411  ],0
245,慰む,2,0,False,[-7.22811604 -1.69104318],0
246,遣う,1,0,False,[-4.1871365  -1.70528566],0
247,よす,3,0,False,[-7.43198491 -1.35152476],0
248,見守る,1,0,False,[0.01054077 3.14153401],1
249,ゆる,1,0,False,[-6.52431542  0.12591363],0
250,話す,1,0,False,[6.29307991 3.03539843],2
251,つきあう,1,0,False,[-6.32554944 -0.96621122],0
252,出合う,2,0,False,[-7.01128686 -1.38413317],0
253,惹く,3,0,False,[-3.26553896 -2.78211984],0
254,残る,1,0,False,[-0.88392711 -0.02632872],0
255,つる,1,0,False,[-7.40136951  0.70302303],0
256,起こす,1,0,False,[ 6.93928787 -2.97391699],2
257,たつ,1,0,False,[-6.2844097   2.21805345],0
258,付き合う,1,0,False,[-1.06485447  4.75564422],1
259,理解し合う,1,0,False,[-7.0365023  -1.48178018],0
260,就く,1,0,False,[2.66675889 4.33104474],1
261,表す,1,0,False,[  8.01826005 -10.63307906],2
262,流す,2,0,False,[ 7.49436013 -0.87557318],2
263,おさむ,1,0,False,[-10.62633962  -1.17402999],0
264,外す,1,0,False,[ 4.60569688 -2.75324955],2
265,こなす,1,0,False,[ 7.71525372 -3.19363765],2
266,持ち帰る,1,0,False,[1.78947826 1.12745762],2
267,見抜く,1,0,False,[-1.17247553 -1.97522818],0
268,づく,2,0,False,[-5.5214883  -0.98621678],0
269,落ち着く,1,0,False,[-2.61103818  4.01315983],0
270,のる,1,0,False,[-5.1599758  -1.14126674],0
271,言い出す,1,0,False,[-5.3660852   1.40041625],0
272,使いこなす,2,0,False,[-0.2389625  -2.90998093],0
273,渡す,1,0,False,[6.75725348 1.9890049 ],2
274,まう,1,0,False,[-7.31171248 -1.20663038],0
275,もたす,1,0,False,[-7.23412096 -1.71770348],0
276,掛かる,1,0,False,[0.95125503 3.86515558],1
277,書き込む,1,0,False,[ 3.16169423 -2.33507303],2
278,そる,1,0,False,[-7.05110941 -1.4628977 ],0
279,落とす,1,0,False,[ 8.17399707 -0.53903443],2
280,頂く,2,0,False,[-4.05324291 -1.64050655],0
281,逸る,1,0,False,[-7.2493292  -1.29763618],0
282,くらぶ,1,0,False,[-8.77066676 -1.27596808],0
283,休む,1,0,False,[1.44602472 3.99274105],1
284,読み取る,1,0,False,[ 4.37713835 -4.62943997],2
285,おく,1,0,False,[4.53111478 4.77925762],1
286,崩す,1,0,False,[ 3.92017253 -3.57127784],2
